Coldspot (Improving),Hotspot (Worsening),Not Significant,queen,snap,z
33,31,693,FALSE,0,1.64
17,15,725,FALSE,0,1.96
7,6,744,FALSE,0,2.58
32,32,699,FALSE,10000,1.64
20,16,727,FALSE,10000,1.96
12,9,742,FALSE,10000,2.58
36,35,705,FALSE,20000,1.64
26,17,733,FALSE,20000,1.96
9,10,757,FALSE,20000,2.58
33,31,693,TRUE,0,1.64
17,15,725,TRUE,0,1.96
7,6,744,TRUE,0,2.58
32,32,700,TRUE,10000,1.64
20,17,727,TRUE,10000,1.96
11,9,744,TRUE,10000,2.58
36,35,705,TRUE,20000,1.64
26,17,733,TRUE,20000,1.96
9,10,757,TRUE,20000,2.58
